Item ID,URL,Zip Code,Size,Delivery Date,Current Data,Days to Delivery
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,6X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,5X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,4X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,3X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,XX-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,Medium,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-black-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1,10001,Small,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-navy-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B07537HQXD&customizationToken=MC_Assembly_1%23B07537HQXD&th=1,10001,6X-Large,2024-12-17,2024-12-10,7
hsales-B077RN8W78-mens-navy-tee-10001-NY,https://www.amazon.com/dp/B077RN8W78?customId=B07537HQXD&customizationToken=MC_Assembly_1%23B07537HQXD&th=1,10001,5X-Large,2024-12-17,2024-12-10,7
